target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
shi|por|0.05616935457050016|spa|0.06638759305364496|glg|0.06912009472656273|ast|0.07051484930552776|cat|0.07722254450201459
shj|dik|0.014664852222577516|udu|0.026176574719722324|mdy|0.04819938742646197|amf|0.049053412215056255|amh|0.053558479205019195
shk|udu|0.013915462413169538|dik|0.02128795597307127|mdy|0.03596677531541704|amf|0.03715623183739048|amh|0.0435954267475558
shl|zyp|0.003927499514546921|cek|0.0055241836956486925|hlt|0.006330920605940616|ben|0.016627349435365993|asm|0.02256494229945055
shm|glk|0.0026636016270551125|pes|0.025644137838243642|sdh|0.02702938566350945|azj|0.028467180529491484|hye|0.028991468170479522
shn|atb|0.014345230211466511|zyp|0.025138886519848767|cek|0.025318504457197025|lao|0.027218372888446304|hlt|0.028404108455963382
sho|bqc|0.005656634154741234|mkl|0.007506860572842234|bqp|0.007545358617354321|kdl|0.009591246223308115|bus|0.01023316484894143
shq|toi|0.010335628537466168|sna|0.015232415699934842|loz|0.018628487168747647|nya|0.029098778868666905|bem|0.02926412901832997
shr|lug|0.026567859794781146|sxb|0.03179813716995101|luo|0.033902638932366|spy|0.03904009635570772|bem|0.04469053798734646
shs|pao|0.05997123344105327|dgr|0.06883399135058492|tew|0.09924849319442375|ood|0.1105235295887919|gwi|0.11227662393661815
sht|pao|0.016389576725460465|ood|0.0730376865736123|tew|0.07892005741528418|tac|0.10428743655554264|dgr|0.12044984746625371
shu|xed|0.020642757998885295|muy|0.021420221588404665|mqb|0.021823003938303793|meq|0.021937472092714665|daa|0.029888896410921118
shv|arb|0.07870122775126734|urd|0.07979857836830918|amh|0.08373177349271303|som|0.08432531714999425|pes|0.08650879253284288
shw|dik|0.018512615689676867|udu|0.024225298816158262|mdy|0.0469862869067134|amf|0.048261281003497705|amh|0.05018067960906728
shx|kne|0.045994867334372705|vie|0.048490303174705256|prf|0.051749046340099435|sgb|0.052574290157893576|lao|0.06795134285803615
shy|mlt|0.03449290185690378|cat|0.04181302306506648|lat|0.04443235754109055|spa|0.045706971055735054|oci|0.04970350066752197
shz|cme|0.005616289521710685|spp|0.0057330936024512546|myk|0.010921761196977742|box|0.013256277528943159|kyf|0.018776172648241718
sia|fin|0.023087599248635512|ekk|0.05439651279694405|swe|0.05785448602204081|lvs|0.06415704800530428|rus|0.06561452676838103
sib|iba|0.010119423224222426|ptu|0.04531614103015327|mqj|0.04653132135457425|yka|0.04674418070483984|agn|0.049572564594429686
sid|mdy|0.008900993234906762|amf|0.013834056441480915|udu|0.026463073768508136|amh|0.028202516840666967|spy|0.03776340137289606
sie|loz|0.015570154248311499|toi|0.025531089411965656|sna|0.038814156890588876|bem|0.04587529779682215|umb|0.047955876327476187
sif|cme|0.004832461485552233|spp|0.006284319156514268|box|0.007804352867299267|myk|0.008466448075318708|kyf|0.02249224870673557
